"Place Order","تقدم"
"Your order has been received.","شكرا لقد تم ارسال طلبك"
"Thank you for your purchase!","شكرا لك على شرائك لمنتجناتنا "
"Sorry ,Your Order Has Been rejected.","نعتذر ،لم يتم قبول الطلب"
"Your order number is: %1.",".%1: رقم طلبك هو"
"Description:","التفاصيل"
"Please do not refresh the page until you complete payment.",".الرجاء عدم اعادة تحميل الصفحة الا بعد الانتهاء من الدفع"
"This order has already been processed,Please place a new order","هذا الطلب قد تم عمله مسبقا,الرجاء عدم الضغط على زر الرجوع و انشاء طلب جديد"
"Order is not found","الطلب غير موجود"
"Request id is not found","رقم الخادم غير موجود"
"Checkout id is not found","ترميز الخادم غير موجود"
"No response data found"," معلومات الخادم غير متوفره"
"Cart is empty,Please refill your cart to be able to proceed","عربة التسوق فارغة, الرجاء اعادة تعبئتها لكي تتمكن من تكملة العملية"
"Please note,ApplePay only works on IOS and Safari browsers","ارجو العلم بأن ابل باي تعمل فقط على انظمة ابل و متصفح سفاري"
"To proceed with the payment, please click on the below button","للمتابعة,الرجاء الضغط على زر ابل الموجود في الاسفل"
"mada","بطاقة مدى البنكية"
"Sorry! Please select mada payment option in order to be able to complete your purchase successfully.",".عذرا! يرجى اختيار خيار الدفع مدى لإتمام عملية الشراء بنجاح"
