"Place Order","Next"
"Your order has been received.","Your order has been received."
"Thank you for your purchase!","Thank you for your purchase!"
"Sorry ,Your Order Has Been rejected.","Sorry ,Your Order Has Been rejected."
"Your order number is: %1.","Your order number is: %1."
"Description:","Description:"
"This order has already been processed,Please place a new order","This order has already been processed,Please place a new order"
"Order is not found","Order is not found"
"Request id is not found","Request id is not found"
"Checkout id is not found","Checkout id is not found"
"No response data found","No response data found"
"Cart is empty,Please refill your cart to be able to proceed","Cart is empty,Please refill your cart to be able to proceed"
"Please note,ApplePay only works on IOS and Safari browsers","Please note,ApplePay only works on IOS and Safari browsers"
"To proceed with the payment, please click on the below button","To proceed with the payment, please click on the below button"
"mada","mada debit card"
